name,sex,bearers,tanach_spelling,suggested,occurrences,other_options,KEEP?
נועה,F,47398,נעה,נֹעָה,1,,
שירה,F,36454,שרה,שָׂרָה,30,,LIKELY NO
מאיה,F,34213,מאה,מֵאָה,100,מְאָה,LIKELY NO
עידו,M,25114,עדו,עִדּוֹ,3,,
הילה,F,24653,הלה,הֲלֹה,1,,LIKELY NO
טליה,F,22622,טלה,טְלֵה,1,,LIKELY NO
אהרון,M,22073,אהרן,אַהֲרֹן,263,,
איילה,F,21579,אילה,אַיָּלָה,1,,
רוני,F,20689,רני,רָנִּי,3,רָנֵּי | רֹנִּי,LIKELY NO
מעיין,F,19633,מעין,מַעְיָן,5,מַעְיַן | מֵעֵין,
תהילה,F,14123,תהלה,תְּהִלָּה,11,תָּהֳלָה,
נויה,F,13094,נוה,נְוֵה,7,נָוֶה,LIKELY NO
אורית,F,12906,אורת,אוֹרֹת,1,,
מירב,F,12593,מרב,מֵרֹב,21,מֵרַב,LIKELY NO
צפורה,F,12338,צפרה,צִפֹּרָה,3,,
רותם,F,12181,רתם,רֹתֶם,2,רְתֹם,
ליאת,F,12133,לאת,לְאֹת,1,,LIKELY NO
ליה,F,12044,לה,לָהּ,204,לֵהּ | לַהּ,LIKELY NO
עמית,F,11936,עמת,עֻמַּת,1,,LIKELY NO
נועם,F,11832,נעם,נֹעַם,6,,
מיטל,F,10775,מטל,מִטָּל,2,מִטַּל,LIKELY NO
מוריה,F,10451,מורה,מוֹרֶה,8,מוֹרָה,
ליאור,F,10255,לאור,לְאוֹר,13,לָאוֹר | לֵאוֹר,LIKELY NO
רונן,M,9862,רנן,רַנֵּן,1,,
שולמית,F,9185,שלמית,שְׁלֹמִית,4,,
ניסים,M,9135,נסים,נָסִים,5,,
ליאל,F,8810,לאל,לְאֵל,15,לָאֵל | לְאַל,LIKELY NO
פנינה,F,8186,פננה,פְּנִנָּה,1,,
לינוי,F,7710,ליני,לִינִי,1,,LIKELY NO
גאיה,F,7670,גאה,גֵּאֶה,4,גָאֹה | גָּאָה | גֵּאָה,LIKELY NO
זוהר,F,6927,זהר,זֹהַר,1,,
איילת,F,6825,אילת,אֵילַת,3,אַיֶּלֶת,
ליבי,F,6501,לבי,לִבִּי,78,,
טוהר,F,6410,טהר,טַהֵר,1,,
תמיר,M,6247,תמר,תָּמָר,22,תַּמֵּר | תֹּמֶר,
בועז,M,5807,בעז,בֹּעַז,19,בְּעֹז,
עומר,F,5596,עמר,עֹמֶר,5,,
רינה,F,5189,רנה,רִנָּה,14,,
שירי,F,5164,שרי,שָׂרֵי,132,שָׂרַי | שָׂרָי,
אמיתי,M,4664,אמתי,אֲמִתַּי,2,אֲמָתִי | אֵמָתִי,
עינב,F,4566,ענב,עֵנָב,1,עֲנָב,
גליה,F,3415,גלה,גִּלָּה,9,גָּלָה | גָּלֹה | גֹּלֶה,
רוית,F,3271,רות,רוּת,10,,
שוהם,F,3246,שהם,שֹׁהַם,6,שֶׁהֵם | שְׁהֶם,
מירי,F,3218,מרי,מְרִי,11,מֶרִי | מָרֵי,
ליאם,F,3012,לאם,לְאֵם,1,לְאֹם,
זיו,F,2971,זו,זוּ,15,זִו | זוֹ,
רונה,F,2934,רנה,רִנָּה,14,,
חדוה,F,2758,חדה,חֲדָה,8,חַדָּה,
אוראל,F,2593,אראל,אֲרִאֵל,1,,
עובדיה,M,2505,עבדיה,עֹבַדְיָה,6,,
רוחמה,F,2472,רחמה,רַחְמָהּ,4,רֻחָמָה,
אוסנת,F,2455,אסנת,אָסְנַת,3,,
מישל,F,2394,משל,מֹשֵׁל,10,מָשָׁל | מְשֹׁל | מְשָׁל,
קרין,F,2276,קרן,קֶרֶן,14,קָרַן | קָרֶן,
אופק,F,2202,אפק,אֲפֵק,1,,
ניצה,F,2182,נצה,נִצָּהּ,2,,
גאולה,F,2159,גאלה,גְּאֻלָּה,3,גְאָלָהּ,
מירה,F,2147,מרה,מָרָה,8,מֹרֶה,
עמליה,F,2127,עמלה,עָמְלָה,1,,
עופרה,F,2068,עפרה,עֲפָרָהּ,3,עָפְרָה,
אודיה,F,2016,אודה,אוֹדֶה,9,,
אבינועם,M,1985,אבינעם,אֲבִינֹעַם,4,,
עוזי,M,1933,עזי,עֻזִּי,13,עָזִּי | עַזֵּי,
אחינועם,F,1919,אחינעם,אֲחִינֹעַם,5,,
אושר,F,1881,אשר,אֲשֶׁר,4807,אָשֵׁר | אַשֻּׁר,
דיקלה,F,1826,דקלה,דִּקְלָה,2,,
דלית,F,1800,דלת,דַּלַּת,1,דֶּלֶת,
ברוריה,F,1792,ברורה,בְרוּרָה,1,,
נירה,F,1666,נרה,נֵרָהּ,1,,
ליבא,F,1640,לבא,לָבֹא,8,לְבֹא,
מירית,F,1633,מרית,מָרִיתָ,1,,
צילה,F,1630,צלה,צִלָּהּ,3,,
ויקטור,M,1555,ויקטר,וַיַּקְטֵר,13,וִיקַטֵּר,
סופיה,F,1543,סופה,סוּפָה,7,,
ריקי,F,1542,רקי,רֻקִּי,1,,
יונית,F,1417,יונת,יוֹנַת,1,,
ליבנת,F,1390,לבנת,לִבְנֹת,2,לְבָנֹת | לִבְנַת | לִבְנָת,
מיאל,F,1307,מאל,מֵאֵל,4,,
יוני,M,1299,יני,יָנִי,1,,
סול,F,1255,סל,סַל,3,,
הניה,F,1254,הנה,הִנֵּה,447,הֵנָּה | הִנֶּה,
אורון,M,1238,ארון,אֲרוֹן,123,,
אווה,F,1206,אוה,אִוָּהּ,1,,
איטה,F,1182,אטה,אַטֶּה,2,,
ליב,F,1172,לב,לֵב,198,לֶב,
גיורא,M,1139,גירא,גִּירָא,1,,
מקסים,M,1132,מקסם,מִקְּסֹם,1,,
בילא,F,1129,בלא,בְּלֹא,25,,
ניב,F,1121,נב,נֹב,2,,
תום,F,1084,תם,תֹּם,13,תָּם | תַּם,
ליעד,F,1074,לעד,לָעַד,21,לְעֵד | לְעַד,
אופל,F,1072,אפל,אֹפֶל,8,,
ליאה,F,1059,לאה,לֵאָה,28,,
מינה,F,1043,מנה,מִנֵּהּ,3,מָנָה | מִנָּה | מְנֵה,
ליזה,F,1042,לזה,לָזֶה,3,,
ליאון,M,1033,לאון,לְאָוֶן,1,,
אורן,F,1019,ארן,אֲרֹן,5,אֹרֶן,
מילה,F,1013,מלה,מִלָּה,2,,
מילי,F,1002,מלי,מִלָּי,5,מִלֵּי,
רביד,F,999,רבד,רְבִד,1,,
שימרית,F,992,שמרית,שִׁמְרִית,1,,
עמירם,M,989,עמרם,עַמְרָם,13,,
אושרה,F,982,אשרה,אֲשֵׁרָה,3,,
עדית,F,889,עדת,עֲדַת,42,עֲדָת,
לידור,F,869,לדור,לְדוֹר,10,לָדוֹר | לַדּוֹר,
ציפי,F,811,צפי,צְפִי,1,,
שולה,F,770,שלה,שִׁלֹה,9,שֵׁלָה | שְׁלֵה,
סופי,F,754,ספי,סִפִּי,1,סִפַּי,
חושן,F,744,חשן,חֹשֶׁן,3,,
תומר,F,737,תמר,תָּמָר,22,תַּמֵּר | תֹּמֶר,
עוזיאל,M,716,עזיאל,עֻזִּיאֵל,8,,
עידן,F,715,עדן,עֵדֶן,11,עֶדֶן | עִדָּן | עֲדֶן,
רוזה,F,684,רזה,רָזָה,7,,
פריידא,F,657,פרידא,פְרִידָא,1,,
חביב,M,597,חבב,חֹבֵב,1,חֹבָב,
נסיה,F,584,נסה,נִסָּה,2,נָסָה | נְסָה,
יוספה,F,576,יספה,יָסְפָה,1,,
אמירה,F,573,אמרה,אָמְרָה,15,,
שיה,F,538,שה,שֶׂה,22,שֵׂה,
ירחמיאל,M,534,ירחמאל,יְרַחְמְאֵל,7,,
שביט,F,515,שבט,שֵׁבֶט,60,שָׁבֶט | שְׁבָט,
לינדה,F,511,לנדה,לְנִדָּה,3,,
ארייה,F,510,אריה,אַרְיֵה,20,,
ניבה,F,505,נבה,נֹבֶה,2,,
סוניה,F,501,סונה,סְוֵנֵה,2,,
משולם,M,489,משלם,מְשֻׁלָּם,17,מְשַׁלֵּם,
נעומי,F,458,נעמי,נָעֳמִי,19,,
מילכה,F,451,מלכה,מַלְכָּהּ,11,מִלְכָּה,
ארין,F,433,ארן,אֲרֹן,5,אֹרֶן,
רוזי,F,431,רזי,רָזִי,2,,
שילי,F,427,שלי,שֶׁלִּי,2,,
לידר,F,423,לדר,לְדֹר,16,,
עיליי,M,417,עילי,עִילַי,1,,
מימון,M,416,מימן,מִיָּמִן,1,,
שושי,F,403,ששי,שֵׁשַׁי,3,שִׁשִּׁי | שָׁשַׁי,
דיויד,M,395,דויד,דָּוִיד,251,,
שילה,F,384,שלה,שִׁלֹה,9,שֵׁלָה | שְׁלֵה,
עמיקם,M,381,עמקם,עִמְקָם,1,,
מיי,F,378,מי,מִי,333,מֵי,
פרחיה,F,375,פרחה,פָּרָחָה,2,פִּרְחָהּ | פָּרְחָה,
ירוחם,M,372,ירחם,יְרֹחָם,10,יְרַחֵם | יְרֻחַם | יְרֻחָם,
בילה,F,368,בלה,בִּלָּה,1,,
ליאב,F,357,לאב,לְאָב,12,לְאַב,
מידן,M,348,מדן,מִדָּן,8,מְדָן,
ניקה,F,347,נקה,נִקָּה,2,נָקֹה,
ליגל,F,343,לגל,לַגָּל,1,,
שירית,F,342,שירת,שִׁירַת,1,,
עופר,F,330,עפר,עָפָר,38,עֲפַר,
עיינה,F,330,עינה,עֵינָהּ,1,,
רוז,F,319,רז,רָז,1,,
שוקי,M,317,שקי,שַׂקִּי,1,,
אושרי,F,314,אשרי,אַשְׁרֵי,36,אֲשֻׁרָי | אֲשֻׁרַי | אַשֻּׁרִי,
רווה,M,312,רוה,רָוֶה,2,רַוֵּה,
ליעוז,M,307,לעוז,לָעוֹז,1,,
נהורה,F,307,נהרה,נַהֲרָה,13,נְהָרָה,
איילון,M,304,אילון,אַיָּלוֹן,6,אֵילוֹן,
שריי,F,303,שרי,שָׂרֵי,132,שָׂרַי | שָׂרָי,
גנית,F,300,גנת,גִּנַּת,3,,
זבולון,M,290,זבולן,זְבוּלֻן,25,,
איליה,M,285,אילה,אַיָּלָה,1,,
אריאה,F,259,אראה,אֶרְאֶה,22,אֵרָאֶה,
ליבה,F,251,לבה,לִבָּהּ,6,,
קורן,F,245,קרן,קֶרֶן,14,קָרַן | קָרֶן,
שירין,F,242,שרין,שִׂרְיֹן,1,שְׁרַיִן,
רימון,F,241,רמון,רִמּוֹן,16,,
פיני,M,238,פני,פְּנֵי,276,פָּנַי | פָּנָי | פָּנָיַ,
סולי,F,235,סלי,סַלֵּי,1,סַלָּי,
חובב,M,232,חבב,חֹבֵב,1,חֹבָב,
אילונה,F,224,אילנה,אַיָּלֹנָה,1,,
מסעוד,M,219,מסעד,מִסְעָד,1,,
לידן,M,216,לדן,לְדָן,2,,
גולדי,F,216,גלדי,גִלְדִּי,1,,
נוהר,F,207,נהר,נְהַר,18,נָהָר,
קרנית,F,205,קרנת,קַרְנֹת,5,,
שינא,F,201,שנא,שֹׂנֵא,6,שָׂנֵא | שְׂנֹא | שָׂנֹא,
שונית,F,200,שנית,שֵׁנִית,31,,
ריקה,F,199,רקה,רֵקָה,1,,
עומרי,F,196,עמרי,עָמְרִי,17,,
איליי,F,192,אילי,אֵילֵי,4,,
שימי,M,192,שמי,שְׁמִי,55,שַׁמַּי | שְׁמֵי | שִׂמִי,
רובי,F,188,רבי,רַבֵּי,1,רַבִּי,
נוית,F,186,נות,נְוֺת,1,נְוַת,
עילית,F,181,עלית,עָלִיתָ,6,עֲלִיַּת | עָלִית | עִלִּית,
ליבת,F,177,לבת,לְבַת,11,,
צורית,F,177,צורת,צוּרַת,1,,
בילי,F,176,בלי,בְּלִי,24,,
היאלי,F,176,האלי,הָאֱלִי,1,,
אירן,F,172,ארן,אֲרֹן,5,אֹרֶן,
מרוה,F,171,מרה,מָרָה,8,מֹרֶה,
נדיר,M,164,נדר,נֶדֶר,18,נֵדֶר | נָדַר | נָדָר,
עמירה,F,164,עמרה,עֲמֹרָה,9,,
איידי,F,163,אידי,אֵידִי,2,,
יעיש,M,162,יעש,יַעַשׂ,1,,
דניה,F,162,דנה,דְּנָה,53,דָּנָה,
עשירה,F,162,עשרה,עֶשְׂרֵה,134,עֲשָׂרָה | עַשְׂרָה,
אומרי,M,153,אמרי,אִמְרֵי,18,אִמְרִי | אֲמָרָי | אֱמֹרִי,
שאולי,M,152,שאלי,שַׁאֲלִי,3,,
צוריה,F,148,צריה,צְרֻיָה,3,צִרֶיהָ | צָרֶיהָ,
גילית,F,146,גילת,גִּילַת,1,,
אמליה,F,145,אמלה,אֲמֻלָה,1,,
אינס,F,141,אנס,אֹנֵס,1,אָנֵס,
אימרי,F,136,אמרי,אִמְרֵי,18,אִמְרִי | אֲמָרָי | אֱמֹרִי,
מוני,M,135,מני,מִנִּי,40,מֶנִּי | מִנֵּי | מַנִּי,
כינרת,F,133,כנרת,כִּנֶּרֶת,2,,
ישורון,M,131,ישרון,יְשֻׁרוּן,2,,
טובית,F,131,טובת,טוֹבַת,6,,
רומן,M,129,רמן,רִמֹּן,2,,
נעימה,F,128,נעמה,נַעֲמָה,4,נָעֵמָה,
נדיה,F,127,נדה,נִדָּה,7,נֵדֶה,
נתניאל,M,125,נתנאל,נְתַנְאֵל,10,,
תומאס,M,125,תמאס,תִּמְאָס,2,תִמָּאֵס | תִמְאַס,
גלבוע,M,124,גלבע,גִּלְבֹּעַ,2,,
אחווה,F,124,אחוה,אֲחַוֶּה,2,,
ליבר,F,121,לבר,לְבַר,1,,
יוראי,M,119,יראי,יִרְאֵי,11,,
רמית,F,118,רמת,רָמֹת,14,רָמַת,
שון,F,115,שן,שֵׁן,17,שָׁן | שַׁן | שֶׁן,
אידן,M,115,אדן,אֲדָן,1,אַדָּן,
שיאל,F,114,שאל,שְׁאַל,13,שָׁאַל | שֹׁאֵל | שָׁאָל,
קמיל,F,111,קמל,קָמַל,1,,
גוליה,F,110,גולה,גוֹלָה,7,גּוֹלֶה,
סגולה,F,108,סגלה,סְגֻלָּה,6,,
אהוביה,M,107,אהביה,אֹהֲבֶיהָ,2,,
איתנה,F,107,אתנה,אֶתְּנָה,3,אֹתָנָה | אַתֵּנָה,
דונה,F,103,דנה,דְּנָה,53,דָּנָה,
עקיבה,M,101,עקבה,עֲקֻבָּה,1,,
תומס,M,101,תמס,תֶּמֶס,1,,
דוברת,F,101,דברת,דִּבַּרְתָּ,40,דִּבְרַת | דָּבְרַת | דֹּבְרֹת,
גומא,M,100,גמא,גֹּמֶא,3,,
תור,M,100,תר,תֹּר,3,,
ביתיה,F,100,ביתה,בֵּיתָהּ,23,בָּיְתָה | בַּיְתָה | בַיְתֵהּ,
ליהן,F,100,להן,לָהֶן,14,לָהֵן,
אייל,F,99,איל,אַיִל,22,אֵיל | אַיָּל | אֱיָל,
ריעות,F,98,רעות,רָעוֹת,18,רֹעוֹת,
אודם,F,97,אדם,אָדָם,344,אֱדֹם | אֹדֶם | אָדֹם,
עטיא,F,96,עטא,עֵטָא,1,,
צילי,F,96,צלי,צְלִי,2,צָלִי,
צוק,M,95,צק,צַק,1,,
תניה,F,95,תנה,תְּנָה,24,,
לירום,M,93,לרום,לָרוּם,2,,
מתיתיהו,M,93,מתתיהו,מַתִּתְיָהוּ,1,,
ציביה,F,93,צביה,צִבְיָה,4,צֹבֶיהָ,
מליה,F,91,מלה,מִלָּה,2,,
יוטה,F,90,יטה,יֻטָּה,1,יַטֶּה | יִטֶּה,
ליליה,F,90,לילה,לַיְלָה,49,לָיְלָה,
רומיה,F,90,רומה,רוּמָה,5,רוּמֵהּ | רוֹמָה,
תומי,M,89,תמי,תֻּמִּי,1,,
אתיה,F,88,אתה,אַתָּה,481,אֹתָהּ | אָתָּה | אִתָּהּ,
גיליה,F,86,גילה,גִּילָה,1,,
