name,sex,bearers,tanach_spelling,suggested,occurrences,other_options,KEEP?
נועה,F,47398,נעה,נֹעָה,1,,yes
שירה,F,36454,שרה,שָׂרָה,30,,no
מאיה,F,34213,מאה,מֵאָה,100,מְאָה,no
עידו,M,25114,עדו,עִדּוֹ,3,,yes
הילה,F,24653,הלה,הֲלֹה,1,,no
טליה,F,22622,טלה,טְלֵה,1,,no
אהרון,M,22073,אהרן,אַהֲרֹן,263,,yes
איילה,F,21579,אילה,אַיָּלָה,1,,uncertain
רוני,F,20689,רני,רָנִּי,3,רָנֵּי | רֹנִּי,no
מעיין,F,19633,מעין,מַעְיָן,5,מַעְיַן | מֵעֵין,no
תהילה,F,14123,תהלה,תְּהִלָּה,11,תָּהֳלָה,no
נויה,F,13094,נוה,נְוֵה,7,נָוֶה,no
אורית,F,12906,אורת,אוֹרֹת,1,,no
מירב,F,12593,מרב,מֵרֹב,21,מֵרַב,uncertain
צפורה,F,12338,צפרה,צִפֹּרָה,3,,yes
רותם,F,12181,רתם,רֹתֶם,2,רְתֹם,no
ליאת,F,12133,לאת,לְאֹת,1,,no
ליה,F,12044,לה,לָהּ,204,לֵהּ | לַהּ,no
עמית,F,11936,עמת,עֻמַּת,1,,no
נועם,F,11832,נעם,נֹעַם,6,,no
מיטל,F,10775,מטל,מִטָּל,2,מִטַּל,no
מוריה,F,10451,מורה,מוֹרֶה,8,מוֹרָה,no
ליאור,F,10255,לאור,לְאוֹר,13,לָאוֹר | לֵאוֹר,no
רונן,M,9862,רנן,רַנֵּן,1,,no
שולמית,F,9185,שלמית,שְׁלֹמִית,4,,yes
ניסים,M,9135,נסים,נָסִים,5,,no
ליאל,F,8810,לאל,לְאֵל,15,לָאֵל | לְאַל,no
פנינה,F,8186,פננה,פְּנִנָּה,1,,yes
לינוי,F,7710,ליני,לִינִי,1,,no
גאיה,F,7670,גאה,גֵּאֶה,4,גָאֹה | גָּאָה | גֵּאָה,no
זוהר,F,6927,זהר,זֹהַר,1,,no
איילת,F,6825,אילת,אֵילַת,3,אַיֶּלֶת,uncertain
ליבי,F,6501,לבי,לִבִּי,78,,no
טוהר,F,6410,טהר,טַהֵר,1,,no
תמיר,M,6247,תמר,תָּמָר,22,תַּמֵּר | תֹּמֶר,uncertain
בועז,M,5807,בעז,בֹּעַז,19,בְּעֹז,yes
עומר,F,5596,עמר,עֹמֶר,5,,no
רינה,F,5189,רנה,רִנָּה,14,,no
שירי,F,5164,שרי,שָׂרֵי,132,שָׂרַי | שָׂרָי,no
אמיתי,M,4664,אמתי,אֲמִתַּי,2,אֲמָתִי | אֵמָתִי,yes
עינב,F,4566,ענב,עֵנָב,1,עֲנָב,no
גליה,F,3415,גלה,גִּלָּה,9,גָּלָה | גָּלֹה | גֹּלֶה,no
רוית,F,3271,רות,רוּת,10,,no
שוהם,F,3246,שהם,שֹׁהַם,6,שֶׁהֵם | שְׁהֶם,no
מירי,F,3218,מרי,מְרִי,11,מֶרִי | מָרֵי,no
ליאם,F,3012,לאם,לְאֵם,1,לְאֹם,no
זיו,F,2971,זו,זוּ,15,זִו | זוֹ,no
רונה,F,2934,רנה,רִנָּה,14,,no
חדוה,F,2758,חדה,חֲדָה,8,חַדָּה,no
אוראל,F,2593,אראל,אֲרִאֵל,1,,no
עובדיה,M,2505,עבדיה,עֹבַדְיָה,6,,yes
רוחמה,F,2472,רחמה,רַחְמָהּ,4,רֻחָמָה,uncertain
אוסנת,F,2455,אסנת,אָסְנַת,3,,yes
מישל,F,2394,משל,מֹשֵׁל,10,מָשָׁל | מְשֹׁל | מְשָׁל,no
קרין,F,2276,קרן,קֶרֶן,14,קָרַן | קָרֶן,no
אופק,F,2202,אפק,אֲפֵק,1,,no
ניצה,F,2182,נצה,נִצָּהּ,2,,no
גאולה,F,2159,גאלה,גְּאֻלָּה,3,גְאָלָהּ,no
מירה,F,2147,מרה,מָרָה,8,מֹרֶה,no
עמליה,F,2127,עמלה,עָמְלָה,1,,no
עופרה,F,2068,עפרה,עֲפָרָהּ,3,עָפְרָה,no
אודיה,F,2016,אודה,אוֹדֶה,9,,no
אבינועם,M,1985,אבינעם,אֲבִינֹעַם,4,,yes
עוזי,M,1933,עזי,עֻזִּי,13,עָזִּי | עַזֵּי,yes
אחינועם,F,1919,אחינעם,אֲחִינֹעַם,5,,yes
אושר,F,1881,אשר,אֲשֶׁר,4807,אָשֵׁר | אַשֻּׁר,no
דיקלה,F,1826,דקלה,דִּקְלָה,2,,uncertain
דלית,F,1800,דלת,דַּלַּת,1,דֶּלֶת,no
ברוריה,F,1792,ברורה,בְרוּרָה,1,,no
נירה,F,1666,נרה,נֵרָהּ,1,,no
ליבא,F,1640,לבא,לָבֹא,8,לְבֹא,no
מירית,F,1633,מרית,מָרִיתָ,1,,no
צילה,F,1630,צלה,צִלָּהּ,3,,yes
ויקטור,M,1555,ויקטר,וַיַּקְטֵר,13,וִיקַטֵּר,no
סופיה,F,1543,סופה,סוּפָה,7,,no
ריקי,F,1542,רקי,רֻקִּי,1,,no
יונית,F,1417,יונת,יוֹנַת,1,,no
ליבנת,F,1390,לבנת,לִבְנֹת,2,לְבָנֹת | לִבְנַת | לִבְנָת,no
מיאל,F,1307,מאל,מֵאֵל,4,,no
יוני,M,1299,יני,יָנִי,1,,no
סול,F,1255,סל,סַל,3,,no
הניה,F,1254,הנה,הִנֵּה,447,הֵנָּה | הִנֶּה,no
אורון,M,1238,ארון,אֲרוֹן,123,,no
אווה,F,1206,אוה,אִוָּהּ,1,,no
איטה,F,1182,אטה,אַטֶּה,2,,no
ליב,F,1172,לב,לֵב,198,לֶב,no
גיורא,M,1139,גירא,גִּירָא,1,,uncertain
מקסים,M,1132,מקסם,מִקְּסֹם,1,,no
בילא,F,1129,בלא,בְּלֹא,25,,no
ניב,F,1121,נב,נֹב,2,,no
תום,F,1084,תם,תֹּם,13,תָּם | תַּם,no
ליעד,F,1074,לעד,לָעַד,21,לְעֵד | לְעַד,no
אופל,F,1072,אפל,אֹפֶל,8,,no
ליאה,F,1059,לאה,לֵאָה,28,,yes
מינה,F,1043,מנה,מִנֵּהּ,3,מָנָה | מִנָּה | מְנֵה,no
ליזה,F,1042,לזה,לָזֶה,3,,no
ליאון,M,1033,לאון,לְאָוֶן,1,,no
אורן,F,1019,ארן,אֲרֹן,5,אֹרֶן,uncertain
מילה,F,1013,מלה,מִלָּה,2,,no
מילי,F,1002,מלי,מִלָּי,5,מִלֵּי,no
רביד,F,999,רבד,רְבִד,1,,no
שימרית,F,992,שמרית,שִׁמְרִית,1,,uncertain
