name,sex,bearers,VOCALIZED,notes
אלעד,M,13895,,
יניב,M,13127,,
אדל,F,12393,,
אורלי,F,11897,,
רונית,F,11729,,
נהוראי,M,11124,,
מורן,F,10310,,
ערן,M,9992,,
לימור,F,9617,,
איריס,F,9518,,
ליאן,F,9370,,
רן,M,9201,,
מאי,F,9001,,
ענבל,F,8868,,
מזל,F,8801,,
פנחס,M,8618,,
נטלי,F,8473,,
שירן,F,8436,,
עלמה,F,8270,,
לירון,F,8161,,
אורטל,F,8156,,
טלי,F,7838,,
מיקה,F,7771,,
רויטל,F,7660,,
נורית,F,7617,,
נופר,F,7451,,
ענבר,F,7392,,
אוהד,M,7345,,
נוי,F,7163,,
ניתאי,M,7073,,
יהלי,F,7016,,
עופרי,F,6784,,
זהבה,F,6749,,
ליטל,F,6716,,
בת שבע,F,6696,,
דניאלה,F,6512,,
ינון,M,6494,,
דורית,F,6485,,
דפנה,F,6441,,
לילך,F,6437,,
אלירן,M,6399,,
נחמן,M,6109,,
יפעת,F,6089,,
אורנה,F,5815,,
שיראל,F,5805,,
יוסי,M,5649,,
סיגל,F,5567,,
אביבה,F,5401,,
בת אל,F,5296,,
אמילי,F,5254,,
ניצן,F,5155,,
רינת,F,5106,,
ליהי,F,5083,,
שירלי,F,4965,,
שילת,F,4869,,
שי-לי,F,4749,,
סימה,F,4725,,
אילנית,F,4710,,
סתיו,F,4660,,
אביחי,M,4564,,
אירית,F,4535,,
אלינור,F,4513,,
סיגלית,F,4431,,
יסמין,F,4326,,
ליאורה,F,4313,,
אדוה,F,4207,,
אורין,F,4138,,
אודליה,F,4096,,
פיגא,F,4020,,
רמי,M,3939,,
לירז,F,3882,,
מרגלית,F,3858,,
קורל,F,3813,,
קארין,F,3803,,
נילי,F,3561,,
רחלי,F,3522,,
אריאלה,F,3378,,
הילי,F,3320,,
אודל,F,3279,,
אלונה,F,3277,,
יוחאי,M,3258,,
ליהיא,F,3151,,
גיטל,F,3126,,
אוריאן,F,3047,,
ניקול,F,3046,,
כרמית,F,3031,,
עמיחי,M,3010,,
ארבל,F,2986,,
אלמה,F,2985,,
אלרואי,M,2927,,
אושרת,F,2877,,
אלמוג,F,2797,,
שניאור,M,2752,,
רותי,F,2751,,
צחי,M,2705,,
זיוה,F,2650,,
אנאל,F,2609,,
עירית,F,2548,,
שרונה,F,2546,,
עקיבא,M,2412,,
עידית,F,2390,,
יולי,F,2387,,
יוגב,M,2383,,
ירין,F,2362,,
סגלית,F,2245,,
מוטי,M,2229,,
ורדה,F,2228,,
כוכבה,F,2199,,
שירז,F,2159,,
קובי,M,2121,,
מיכאלה,F,2110,,
אושרית,F,2096,,
דורין,F,2046,,
דריה,F,2042,,
צליל,F,2006,,
בלומה,F,2001,,
ירדנה,F,1991,,
אביבית,F,1979,,
לילי,F,1973,,
רון,F,1954,,
ליאו,M,1935,,
נירית,F,1874,,
לורן,F,1872,,
אליאן,F,1866,,
שגית,F,1839,,
רפי,M,1794,,
חני,F,1718,,
הרצל,M,1715,,
אלכסנדר,M,1682,,
לירי,F,1620,,
פרידה,F,1617,,
גולדה,F,1600,,
הינדא,F,1599,,
תמרה,F,1599,,
לני,F,1588,,
דנית,F,1546,,
עמנואל,F,1541,,
סהר,F,1525,,
שחף,F,1518,,
ענהאל,F,1518,,
שיינא,F,1513,,
שגב,M,1501,,
דגנית,F,1496,,
מאירה,F,1491,,
אליס,F,1400,,
לוטם,F,1395,,
שגיב,M,1390,,
לינור,F,1365,,
איציק,M,1339,,
ויקטוריה,F,1310,,
בת חן,F,1307,,
זהבית,F,1306,,
חופית,F,1287,,
מתנאל,M,1265,,
פזית,F,1258,,
אורנית,F,1246,,
לירן,F,1222,,
שיינדל,F,1204,,
נינה,F,1202,,
רייזל,F,1201,,
אליעד,M,1197,,
שבתאי,M,1169,,
ליז,F,1155,,
רזיאל,M,1115,,
דיאנה,F,1112,,
אביגדור,M,1109,,
אודי,M,1107,,
זואי,F,1066,,
דורון,F,1052,,
עירן,M,1052,,
יוטא,F,1041,,
אמיליה,F,1038,,
גבריאלה,F,1025,,
פערל,F,1025,,
יניר,M,1015,,
אבירן,M,985,,
שרגא,M,970,,
לייה,F,966,,
איימי,F,964,,
אסתי,F,949,,
ויקי,F,910,,
אליענה,F,907,,
פריאל,F,902,,
טופז,F,900,,
דרורה,F,879,,
בתאל,F,835,,
ריף,F,815,,
פסיה,F,809,,
מרק,M,806,,
אלכס,F,789,,
סימונה,F,782,,
ורדית,F,773,,
שנהב,F,760,,
אורפז,F,737,,
נאיה,F,724,,
קורין,F,724,,
חביבה,F,718,,
אליזבט,F,715,,
בטי,F,715,,
קטי,F,714,,
רביב,M,713,,
אלרועי,M,707,,
סמי,M,705,,
פרומה,F,694,,
רקפת,F,686,,
נוריאל,M,680,,
מרסל,F,664,,
אלומה,F,659,,
סוזי,F,643,,
נלי,F,637,,
רגב,M,632,,
"השחר""",F,627,,
יערית,F,621,,
טויבא,F,610,,
מייה,F,608,,
צפריר,M,607,,
מירל,F,607,,
אלינה,F,605,,
חזי,M,604,,
ליפז,F,596,,
הלן,F,593,,
איידל,F,589,,
אלכסנדרה,F,589,,
בראל,M,588,,
אליסה,F,576,,
אמלי,F,576,,
מוריס,M,572,,
יזהר,M,563,,
גיטה,F,562,,
מנור,F,559,,
מייקל,M,558,,
אשרת,F,553,,
צופית,F,530,,
אלינוי,F,528,,
זלמן,M,524,,
אביאור,M,523,,
מוריאל,F,523,,
קלרה,F,520,,
מינדל,F,517,,
הענא,F,513,,
אראלה,F,512,,
גיטי,F,511,,
זוהרה,F,507,,
אדי,M,504,,
ליר,F,500,,
סילביה,F,500,,
ישכר,M,499,,
תלמה,F,499,,
שייה,F,497,,
דני,F,494,,
סוזן,F,486,,
אלברט,M,479,,
סימי,F,479,,
דולב,F,477,,
מקס,M,475,,
אלאור,M,472,,
נתלי,F,472,,
אמיל,M,469,,
אלטע,F,462,,
פאני,F,455,,
צביקה,M,454,,
סימא,F,451,,
צירל,F,448,,
חניתה,F,447,,
שטערנא,F,443,,
אלחי,M,438,,
אלעאי,M,436,,
ארנה,F,435,,
אייר,F,432,,
נתנאלה,F,428,,
פייגי,F,428,,
מושקא,F,424,,
אידה,F,423,,
פראדל,F,423,,
אלתר,M,422,,
כלנית,F,419,,
דקל,F,414,,
סנדרה,F,414,,
