name,sex,bearers,VOCALIZED,notes
אלעד,M,13895,אֶלְעָד,confident
יניב,M,13127,יָנִיב,confident
אדל,F,12393,אַדֶּל,ambiguous: אַדֶּל / אָדֶל / אֵידֶל (Yiddish Eydl); Hebrew documents most often אַדֶּל
אורלי,F,11897,אוֹרְלִי,confident
רונית,F,11729,רוֹנִית,confident
נהוראי,M,11124,נְהוֹרַאי,confident
מורן,F,10310,מוֹרָן,confident
ערן,M,9992,עֵרָן,confident
לימור,F,9617,לִימוֹר,confident
איריס,F,9518,אִירִיס,confident
ליאן,F,9370,לִיאָן,ambiguous: לִיאָן / לִיאַן; also read as Lian vs Leeann
רן,M,9201,רָן,confident
מאי,F,9001,מַאי,ambiguous: מַאי (May) / מָאִי; commonly the month-name May
ענבל,F,8868,עִנְבָּל,confident
מזל,F,8801,מַזָּל,confident
פנחס,M,8618,פִּנְחָס,confident
נטלי,F,8473,נָטָלִי,"ambiguous: נָטָלִי / נַטָּלִי; foreign name (Natalie), no fixed norm"
שירן,F,8436,שִׁירָן,confident
עלמה,F,8270,עַלְמָה,confident
לירון,F,8161,לִירוֹן,confident
אורטל,F,8156,אוֹרְטַל,confident
טלי,F,7838,טַלִּי,confident
מיקה,F,7771,מִיקָה,uncertain: modern coinage/foreign; מִיקָה assumed
רויטל,F,7660,רְוִיטַל,uncertain: usually parsed רְוִי+טַל; some write רוֹיטַל
נורית,F,7617,נוּרִית,confident
נופר,F,7451,נוּפָר,confident
ענבר,F,7392,עִנְבָּר,confident
אוהד,M,7345,אוֹהָד,confident
נוי,F,7163,נוֹי,confident
ניתאי,M,7073,נִיתַאי,confident
יהלי,F,7016,יַהֲלִי,uncertain: from יַהֲלוֹם; also vocalized יְהָלִי by some
עופרי,F,6784,עוֹפְרִי,confident
זהבה,F,6749,זְהָבָה,confident
ליטל,F,6716,לִיטַל,confident
בת שבע,F,6696,בַּת שֶׁבַע,confident
דניאלה,F,6512,דָּנִיאֵלָה,confident
ינון,M,6494,יִנּוֹן,confident
דורית,F,6485,דּוֹרִית,confident
דפנה,F,6441,דַּפְנָה,confident
לילך,F,6437,לִילָךְ,confident
אלירן,M,6399,אֱלִירָן,confident
נחמן,M,6109,נַחְמָן,confident
יפעת,F,6089,יִפְעַת,confident
אורנה,F,5815,אוֹרְנָה,confident
שיראל,F,5805,שִׁירָאֵל,confident
יוסי,M,5649,יוֹסִי,confident
סיגל,F,5567,סִיגָל,confident
אביבה,F,5401,אֲבִיבָה,confident
בת אל,F,5296,בַּת אֵל,confident
אמילי,F,5254,אֶמִילִי,"uncertain: foreign name (Emily), no fixed nikud norm"
ניצן,F,5155,נִיצָן,"uncertain: plene spelling; the Hebrew word is נִצָּן, so some point נִיצָּן"
רינת,F,5106,רִינַת,ambiguous: רִינַת per this plene spelling; the underlying construct is רִנַּת
ליהי,F,5083,לִיהִי,confident
שירלי,F,4965,שִׁירְלִי,confident
שילת,F,4869,שִׁילַת,uncertain: modern coinage; also שֵׁילַת
שי-לי,F,4749,שַׁי-לִי,confident
