name,sex,bearers,auto_pick,auto_count,alternatives,OVERRIDE
דוד,M,66415,דָּוִד,596,דּוֹד(4),
משה,M,62813,מֹשֶׁה,727,מִשֶּׂה(1) | מַשֵּׁה(1),
יוסף,M,61850,יוֹסֵף,197,יוֹסִף(5),
יעקב,M,48075,יַעֲקֹב,269,יַעְקֹב(1),
יצחק,M,46655,יִצְחָק,81,יִצְחַק(1),
יעל,F,45329,יָעֵל,6,יַעַל(2),
אסתר,F,44657,אֶסְתֵּר,42,אֶסָּתֵר(2),
תמר,F,39930,תָּמָר,22,תַּמֵּר(1) | תֹּמֶר(1),
חנה,F,35905,חַנָּה,9,חֹנֶה(2) | חָנָה(2) | חֹנָה(2),
מרים,F,34343,מִרְיָם,11,מֵרִים(3) | מָרִים(2),
שלמה,M,33328,שְׁלֹמֹה,242,שְׁלֵמָה(7) | שַׂלְמָה(3) | שַׁלָּמָה(1),
יהודה,M,32237,יְהוּדָה,683,יְהוֹדֶה(1),
עדי,F,30220,עֲדֵי,12,עָדַי(7) | עֲדִי(2) | עֵדַי(2) | עֶדִי(2),
אליהו,M,26416,אֵלִיָּהוּ,60,אֱלִיהוּ(3),
מרדכי,M,25417,מָרְדֳּכַי,32,מָרְדֳּכָי(11),
חיה,F,24687,חַיָּה,23,חָיֹה(7) | חִיָּה(1) | חָיָה(1),
אסף,M,20296,אָסָף,27,אֱסֹף(5) | אֹסִף(3) | אָסַף(3) | אָסֹף(3),
בן,M,18393,בֶּן,1501,בֵּן(101) | בִּן(31),
שני,F,18267,שְׁנֵי,164,שָׁנִי(26) | שֵׁנִי(12) | שְׁנִי(2),
טל,F,16547,טַל,7,טָל(6),
יובל,F,16090,יוּבָל,5,יוֹבֵל(3) | יוּבַל(3),
עדן,F,15931,עֵדֶן,11,עֶדֶן(3) | עִדָּן(2) | עֲדֶן(1),
מלכה,F,15874,מַלְכָּהּ,11,מִלְכָּה(9),
נדב,M,15440,נָדָב,16,נָדַב(1),
הדר,F,15429,הֲדַר,5,הָדָר(4) | הֶדֶר(1),
קרן,F,15130,קֶרֶן,14,קָרַן(3) | קָרֶן(2),
אלה,F,14707,אֵלֶּה,321,אֱלָהּ(20) | אֵלָה(13) | אָלָה(12) | אֱלֹהַ(1),
נעמה,F,14118,נַעֲמָה,4,נָעֵמָה(1),
דנה,F,13642,דְּנָה,53,דָּנָה(1),
שלום,M,12701,שָׁלוֹם,112,שַׁלּוּם(13) | שְׁלוֹם(10),
נטע,F,12561,נָטַע,4,נְטַע(1) | נָטָע(1),
נגה,F,11846,נֹגַהּ,4,נָגַהּ(2),
נתן,M,11322,נָתַן,185,נֹתֵן(84) | נָתָן(32) | נִתַּן(15) | נִתֵּן(6),
דניאל,F,11144,דָּנִיֵּאל,47,דָּנִיֶּאל(1),
ישי,M,10621,יִשַׁי,27,יִשָׁי(11),
אור,F,10587,אוֹר,53,אוּר(4),
שחר,F,10569,שָׁחַר,9,שָׁחֹר(2) | שִׁחֹר(1) | שַׁחַר(1) | שֹׁחֵר(1),
רעות,F,10088,רָעוֹת,18,רֹעוֹת(1),
גלית,F,9692,גָּלְיָת,6,גִּלִּית(1) | גָּלִיתָ(1),
שקד,F,9637,שֹׁקֵד,3,שָׁקֵד(1) | שָׁקַד(1),
ארז,M,9561,אֶרֶז,8,אָרֶז(3),
אדם,M,9429,אָדָם,344,אֱדֹם(18) | אֹדֶם(3) | אָדֹם(2),
גלעד,M,9138,גִּלְעָד,75,גַּלְעֵד(2),
יפה,F,9056,יָפָה,12,יְפֵה(8) | יָפֶה(5),
