priority,list,name,bearers,proposed,agent_said,alternatives,YOUR_CALL
1,needs-nikud,ריף,815,,unknown,,
1,tanach-ambiguous,פני,792,,UNCERTAIN: construct 'face-of'; no personal name in Tanach,פָּנַי(54) | פָּנָי(19) | פָּנָיַ(2),
1,tanach-ambiguous,יראת,174,,UNCERTAIN: construct 'fear-of'; no personal name in Tanach,יָרֵאתָ(1),
1,tanach-ambiguous,עליה,118,,UNCERTAIN: preposition 'upon her'; name is post-biblical,עֳלֶיהָ(1),
1,tanach-ambiguous,עלית,75,,UNCERTAIN: all attested forms are verb or construct; no name attested,עֲלִיַּת(5) | עָלִית(3) | עִלִּית(1),
1,tanach-ambiguous,הרי,53,,UNCERTAIN: construct 'mountains-of'; name is post-biblical,הָרַי(4) | הָרָי(1),
2,tanach-ambiguous,עדי,30220,עֲדִי,override (auto-pick was עֲדֵי),עָדַי(7) | עֲדִי(2) | עֵדַי(2) | עֶדִי(2),
2,tanach-ambiguous,שני,18267,שָׁנִי,override (auto-pick was שְׁנֵי),שָׁנִי(26) | שֵׁנִי(12) | שְׁנִי(2),
2,tanach-ambiguous,הדר,15429,הָדָר,override (auto-pick was הֲדַר),הָדָר(4) | הֶדֶר(1),
2,tanach-ambiguous,אלה,14707,אֵלָה,override (auto-pick was אֵלֶּה),אֱלָהּ(20) | אֵלָה(13) | אָלָה(12) | אֱלֹהַ(1),
2,needs-nikud,אדל,12393,אַדֶּל,ambiguous: אַדֶּל / אָדֶל / אֵידֶל (Yiddish Eydl); Hebrew documents most often אַדֶּל,,
2,tanach-ambiguous,נתן,11322,נָתָן,override (auto-pick was נָתַן),נֹתֵן(84) | נָתָן(32) | נִתַּן(15) | נִתֵּן(6),
2,needs-nikud,ליאן,9370,לִיאָן,ambiguous: לִיאָן / לִיאַן; also read as Lian vs Leeann,,
2,needs-nikud,מאי,9001,מַאי,ambiguous: מַאי (May) / מָאִי; commonly the month-name May,,
2,needs-nikud,נטלי,8473,נָטָלִי,"ambiguous: נָטָלִי / נַטָּלִי; foreign name (Natalie), no fixed norm",,
2,needs-nikud,מיקה,7771,מִיקָה,uncertain: modern coinage/foreign; מִיקָה assumed,,
2,needs-nikud,רויטל,7660,רְוִיטַל,uncertain: usually parsed רְוִי+טַל; some write רוֹיטַל,,
2,needs-nikud,יהלי,7016,יַהֲלִי,uncertain: from יַהֲלוֹם; also vocalized יְהָלִי by some,,
2,tanach-ambiguous,אביה,6497,אֲבִיָּה,override (auto-pick was אָבִיהָ),אֲבִיָּה(19) | אָבִיה(1),
2,tanach-ambiguous,אליה,5882,אֵלִיָּה,override (auto-pick was אֵלֶיהָ),אֵלִיָּה(5),
2,needs-nikud,אמילי,5254,אֶמִילִי,"uncertain: foreign name (Emily), no fixed nikud norm",,
2,needs-nikud,ניצן,5155,נִיצָן,"uncertain: plene spelling; the Hebrew word is נִצָּן, so some point נִיצָּן",,
2,needs-nikud,רינת,5106,רִינַת,ambiguous: רִינַת per this plene spelling; the underlying construct is רִנַּת,,
2,needs-nikud,שילת,4869,שִׁילַת,uncertain: modern coinage; also שֵׁילַת,,
